Job Title,Experience Level,Technologies
Senior Python Developer (Django),senior,"Python, Django, REST, AWS"
Senior Python Engineer IRC206424,senior,"Python, Django, Flask, REST, pytest, PostgreSQL, MongoDB, Git, Docker, Kubernetes, Azure"
Python (Django) Developer,middle,"Python, Django, Flask, REST, Celery, PostgreSQL, MySQL, MongoDB, Redis, Sass"
Senior Python Developer,senior,"Python, Pandas, TensorFlow, REST, PostgreSQL, MySQL, MongoDB, Git, Docker, Jenkins, Hadoop, Spark, Airflow"
Senior Python developer for an AI startup,senior,"Python, REST, Redis, AWS, Less"
Python Developer,junior,"Python, REST, Sass, Less"
Middle Python Developer,middle,"Python, FastAPI, asyncio, TensorFlow, PyTorch, REST, SQLAlchemy, PostgreSQL, AWS"
Python/Django Engineer,middle,"Python, Django"
Senior Developer / CI Developer (IRC206222),senior,"Python, Git, Jenkins"
Senior Python Developer,senior,"Python, Django, Git, Docker, AWS, Terraform"
Middle Python,middle,"Python, Django, Flask, PostgreSQL, Git"
Middle Python Developer,middle,"Python, Django, Flask, FastAPI, NumPy, Pandas, TensorFlow, PyTorch, REST, unittest, RQ, PostgreSQL, Redis, Git"
Looking Middle Python Developer,middle,"Python, Django, Flask, FastAPI, pytest, Celery, SQLAlchemy, PostgreSQL, MySQL, Git, Docker, AWS, Azure, GCP"
Middle Python Developer,middle,"Python, Django, aiohttp, REST, Celery, PostgreSQL, Redis, Git"
Lead AI Engineer,senior,"Python, TensorFlow, Keras, PyTorch, REST, Spark"
Python FS Developer (2 months project),middle,"Python, Selenium, unittest, NoSQL, Git, Docker, Kubernetes, AWS, Azure, GCP, Jenkins"
Python Developer,middle,"Python, Django, FastAPI, REST, NoSQL, Git"
Senior Full Stack Software Developer (Python+JS),senior,"Python, RQ, AWS, GCP"
Python Developer in Test (Apps),middle,"Python, REST, gRPC, pytest, RQ, Jenkins"
Senior Python developer,senior,"Python, AWS, Terraform, Sass"
Senior Python Backend Engineer,senior,"Python, Django, FastAPI, REST, unittest, PostgreSQL, NoSQL, MongoDB, Redis, Docker, Kubernetes, AWS, GCP, Dask"
Senior Backend Engineer (Python),senior,"Python, Django, FastAPI, asyncio, aiohttp, REST, pytest, Celery, PostgreSQL, Redis, Git, Docker, Kubernetes"
Python Engineer,middle,"Python, Flask, REST, PostgreSQL, Redis, Git, Docker, AWS, Less"
Python Engineer (Poland),senior,"Python, Django, Celery, MongoDB, Docker, Kubernetes, AWS, Jenkins, Less"
Senior Python (Django) Developer,senior,"Python, Django, unittest, Celery, NoSQL, Redis, Git, Docker, AWS"
Middle/Senior Full Stack (Python / React.js / TypeScript),senior,"Python, Flask, REST, PostgreSQL, Less"
Python developer / strong junior,junior,"Python, Django, NoSQL, AWS"
Staff Software Engineer/Tech lead,senior,"Python, MySQL, NoSQL, Redis, Memcached, Kubernetes, AWS, Sass"
Python Lead,senior,"Python, REST, NoSQL, AWS"
Python Developer,junior,"Python, Flask, Pandas, BeautifulSoup, Selenium, REST, NoSQL, AWS, GCP"
Python Developer,middle,"Python, REST, PostgreSQL, MySQL, Git, Docker"
"Middle Python/Django developer, full stack (front preferable vue.js)",middle,"Python, Django, REST, Docker"
Middle Python/Machine Learning Software Engineer,middle,"Python, NumPy, Pandas, SciPy, REST, Git, Docker"
Data Mining Engineer needed for data centric startup,Not specified,"Python, Pandas, Selenium, Git, Docker, Kubernetes, Airflow"
Middle Strong Python Dev,middle,"Python, REST, Docker, Less"
Senior Python Developer (with AWS skills),senior,"Python, Docker, Kubernetes, AWS"
Database Developer (Graph Databases),senior,"Python, Git, Docker, Airflow"
Senior Software Engineer (Python),senior,"Python, Docker, Kubernetes, AWS"
Software Engineer (Python),middle,"Python, Docker, Kubernetes, AWS"
Scraping Engineer,middle,"Python, Scrapy, NoSQL, AWS, Azure"
Senior Python Developer,senior,"Python, Django, PostgreSQL, Redis, Webpack"
Senior Python Developer with AWS,senior,"Python, PostgreSQL, AWS"
Data Aggregation Specialist (Python),junior,"Python, Scrapy, Selenium, Git, Less"
Team Lead Python/Django,middle,"Python, Django, REST, Celery, PostgreSQL, NoSQL, MongoDB, Docker, Kubernetes, AWS, Azure, GCP"
Python Developer (Scraping),junior,"Python, Flask, Pandas, BeautifulSoup, Selenium, REST, NoSQL, AWS, GCP"
Senior Python Developer with AWS,senior,"Python, PostgreSQL, AWS"
Team Lead / Senior Python Engineer (Indigo Ag),senior,"Python, FastAPI, Celery, SQLAlchemy, Redis, Git"
Python Developer for EdTech company,middle,Python
Штучний інтелект і Python (блок ШІ),Not specified,Python
Python Developer,middle,"Python, FastAPI, Docker, AWS, Terraform"
Senior Python developer (Location - Germany),senior,"Python, TensorFlow, PyTorch, REST, Git, Docker, Kubernetes, AWS, Spark"
Senior Python Developer,senior,"Python, PostgreSQL, AWS"
Senior Python Developer with AWS,senior,"Python, PostgreSQL, AWS"
Senior Python Developer with AWS,senior,"Python, PostgreSQL, AWS"
Python + Django,junior,"Python, Django, REST, pytest, unittest, PostgreSQL, Git"
Python (Odoo) Developer,junior,"Python, Git"
Python developer на платформі Odoo,middle,"Python, PostgreSQL, Git"
Senior Python Software Engineer with Data Science experience (in Europe),senior,"Python, unittest, Sass, Less, Spark"
Python FS Developer,middle,"Python, Selenium, unittest, NoSQL, Git, Docker, Kubernetes, AWS, Azure, GCP, Jenkins, Less"
Junior Python Developer (full stack),junior,"Python, Django, NumPy, Pandas, TensorFlow, PyTorch, REST, unittest, Git, Docker, AWS, Azure, GCP"
Python developer,middle,"Python, Django, REST, pytest, unittest, PostgreSQL, Git"
Software Engineer with VoIP experience,senior,"Python, GCP"
Python Engineer (OCR and Document Processing),middle,"Python, REST, Git, Sass, Less"
Middle Python Developer,middle,"Python, REST, PostgreSQL, Redis, Docker, Kubernetes"
Large Language Model (LLM) Engineer,middle,"Python, REST"
Middle to Senior Python Engineer,senior,"Python, Django, Flask, FastAPI, REST, PostgreSQL, MySQL, MongoDB, AWS, Azure, GCP"
Python Developer,junior,"Python, Django, Flask, REST, NoSQL, Docker, Kubernetes, AWS, Azure, GCP"
Middle Python Developer,middle,"Python, Flask, REST, Celery, SQLAlchemy, PostgreSQL, AWS, GCP"
Python developer with Cloud and DevOps experience,middle,"Python, REST, Git, Docker, Kubernetes, AWS, Azure, Terraform"
Senior - Regular Python Developer ( EST working hours),senior,"Python, Pandas, AWS, Airflow"
Pyton Developer 4+ years exp,senior,"Python, Django, FastAPI, REST, Celery, SQLAlchemy, Redis, Docker, AWS, Less"
